Date,SKU_ID,Warehouse_ID,Supplier_ID,Region,Units_Sold,Inventory_Level,Supplier_Lead_Time_Days,Reorder_Point,Order_Quantity,Unit_Cost,Unit_Price,Promotion_Flag,Stockout_Flag,Demand_Forecast,Revenue,Cost,Profit,Profit_Margin,Forecast_Error,Absolute_Forecast_Error,Low_Stock_Flag,Replenishment_Flag,Risk_Level,Recommendation,Recommendation_Reason
01-01-2024,SKU_1,WH_1,SUP_8,West,10,592,14,379,0,13.95,20.48,0,0,8.52,204.8,139.5,65.3,31.88,1.48,1.48,0,0,LOW,NO ACTION,Inventory is currently above the reorder threshold with sufficient forecast coverage.
01-01-2024,SKU_1,WH_2,SUP_5,East,20,843,8,322,0,11.46,19.92,0,0,21.14,398.4,229.2,169.2,42.47,-1.14,1.14,0,0,LOW,NO ACTION,Inventory is currently above the reorder threshold with sufficient forecast coverage.
01-01-2024,SKU_1,WH_3,SUP_9,West,16,505,6,314,0,6.06,8.41,1,0,18.05,134.56,96.96,37.6,27.94,-2.05,2.05,0,0,LOW,NO ACTION,Inventory is currently above the reorder threshold with sufficient forecast coverage.
01-01-2024,SKU_1,WH_4,SUP_2,East,15,522,9,333,0,6.93,10.7,0,0,14.01,160.5,103.95,56.55,35.23,0.99,0.99,0,0,LOW,NO ACTION,Inventory is currently above the reorder threshold with sufficient forecast coverage.
01-01-2024,SKU_1,WH_5,SUP_5,East,20,640,4,366,0,19.41,23.81,0,0,19.18,476.2,388.2,88.0,18.48,0.82,0.82,0,0,LOW,NO ACTION,Inventory is currently above the reorder threshold with sufficient forecast coverage.
01-01-2024,SKU_10,WH_1,SUP_10,South,24,835,13,361,0,12.67,18.73,0,0,28.96,449.52,304.08,145.44,32.35,-4.96,4.96,0,0,LOW,NO ACTION,Inventory is currently above the reorder threshold with sufficient forecast coverage.
01-01-2024,SKU_10,WH_2,SUP_2,South,16,520,10,310,0,13.83,22.36,0,0,17.4,357.76,221.28,136.48,38.15,-1.4,1.4,0,0,LOW,NO ACTION,Inventory is currently above the reorder threshold with sufficient forecast coverage.
01-01-2024,SKU_10,WH_3,SUP_5,North,23,769,5,218,0,13.68,17.87,0,0,24.96,411.01,314.64,96.37,23.45,-1.96,1.96,0,0,LOW,NO ACTION,Inventory is currently above the reorder threshold with sufficient forecast coverage.
01-01-2024,SKU_10,WH_4,SUP_10,West,32,781,14,328,0,19.02,24.9,1,0,32.38,796.8,608.64,188.16,23.61,-0.38,0.38,0,0,LOW,NO ACTION,Inventory is currently above the reorder threshold with sufficient forecast coverage.
01-01-2024,SKU_10,WH_5,SUP_10,North,16,510,9,246,0,9.67,15.35,0,0,19.09,245.6,154.72,90.88,37.0,-3.09,3.09,0,0,LOW,NO ACTION,Inventory is currently above the reorder threshold with sufficient forecast coverage.
01-01-2024,SKU_11,WH_1,SUP_3,South,18,922,4,286,0,19.54,34.79,0,0,18.87,626.22,351.72,274.5,43.83,-0.87,0.87,0,0,LOW,NO ACTION,Inventory is currently above the reorder threshold with sufficient forecast coverage.
01-01-2024,SKU_11,WH_2,SUP_4,South,24,954,4,230,0,17.93,29.29,0,0,23.85,702.96,430.32,272.64,38.78,0.15,0.15,0,0,LOW,NO ACTION,Inventory is currently above the reorder threshold with sufficient forecast coverage.
01-01-2024,SKU_11,WH_3,SUP_8,West,22,813,13,342,0,13.85,18.39,0,0,23.41,404.58,304.7,99.88,24.69,-1.41,1.41,0,0,LOW,NO ACTION,Inventory is currently above the reorder threshold with sufficient forecast coverage.
01-01-2024,SKU_11,WH_4,SUP_9,South,15,953,2,382,0,6.2,7.82,0,0,19.79,117.3,93.0,24.3,20.72,-4.79,4.79,0,0,LOW,NO ACTION,Inventory is currently above the reorder threshold with sufficient forecast coverage.
01-01-2024,SKU_11,WH_5,SUP_7,East,11,977,3,349,0,18.92,31.99,0,0,9.19,351.89,208.12,143.77,40.86,1.81,1.81,0,0,LOW,NO ACTION,Inventory is currently above the reorder threshold with sufficient forecast coverage.
01-01-2024,SKU_12,WH_1,SUP_5,North,17,964,5,299,0,5.36,7.17,0,0,13.39,121.89,91.12,30.77,25.24,3.61,3.61,0,0,LOW,NO ACTION,Inventory is currently above the reorder threshold with sufficient forecast coverage.
01-01-2024,SKU_12,WH_2,SUP_6,West,21,680,6,370,0,19.03,23.02,0,0,22.71,483.42,399.63,83.79,17.33,-1.71,1.71,0,0,LOW,NO ACTION,Inventory is currently above the reorder threshold with sufficient forecast coverage.
01-01-2024,SKU_12,WH_3,SUP_8,East,26,755,6,234,0,10.01,13.38,0,0,25.49,347.88,260.26,87.62,25.19,0.51,0.51,0,0,LOW,NO ACTION,Inventory is currently above the reorder threshold with sufficient forecast coverage.
01-01-2024,SKU_12,WH_4,SUP_1,East,21,849,12,227,0,14.2,19.73,0,0,20.88,414.33,298.2,116.13,28.03,0.12,0.12,0,0,LOW,NO ACTION,Inventory is currently above the reorder threshold with sufficient forecast coverage.
01-01-2024,SKU_12,WH_5,SUP_8,South,17,749,6,349,0,10.21,15.8,0,0,14.68,268.6,173.57,95.03,35.38,2.32,2.32,0,0,LOW,NO ACTION,Inventory is currently above the reorder threshold with sufficient forecast coverage.
01-01-2024,SKU_13,WH_1,SUP_9,South,21,870,9,246,0,19.52,24.09,0,0,15.57,505.89,409.92,95.97,18.97,5.43,5.43,0,0,LOW,NO ACTION,Inventory is currently above the reorder threshold with sufficient forecast coverage.
01-01-2024,SKU_13,WH_2,SUP_4,East,25,484,11,350,0,17.04,21.69,0,0,21.49,542.25,426.0,116.25,21.44,3.51,3.51,0,0,LOW,NO ACTION,Inventory is currently above the reorder threshold with sufficient forecast coverage.
01-01-2024,SKU_13,WH_3,SUP_7,West,15,540,14,382,0,6.01,8.52,0,0,13.39,127.8,90.15,37.65,29.46,1.61,1.61,0,0,LOW,NO ACTION,Inventory is currently above the reorder threshold with sufficient forecast coverage.
01-01-2024,SKU_13,WH_4,SUP_5,East,21,902,10,251,0,14.29,19.75,0,0,20.73,414.75,300.09,114.66,27.65,0.27,0.27,0,0,LOW,NO ACTION,Inventory is currently above the reorder threshold with sufficient forecast coverage.
01-01-2024,SKU_13,WH_5,SUP_10,East,23,811,7,305,0,15.13,23.34,0,0,21.64,536.82,347.99,188.83,35.18,1.36,1.36,0,0,LOW,NO ACTION,Inventory is currently above the reorder threshold with sufficient forecast coverage.
01-01-2024,SKU_14,WH_1,SUP_2,North,26,504,11,265,0,8.21,11.1,0,0,25.15,288.6,213.46,75.14,26.04,0.85,0.85,0,0,LOW,NO ACTION,Inventory is currently above the reorder threshold with sufficient forecast coverage.
01-01-2024,SKU_14,WH_2,SUP_2,East,31,841,14,268,0,18.83,23.34,1,0,27.22,723.54,583.73,139.81,19.32,3.78,3.78,0,0,LOW,NO ACTION,Inventory is currently above the reorder threshold with sufficient forecast coverage.
01-01-2024,SKU_14,WH_3,SUP_1,South,30,671,3,283,0,5.88,9.37,0,0,22.49,281.1,176.4,104.7,37.25,7.51,7.51,0,0,LOW,NO ACTION,Inventory is currently above the reorder threshold with sufficient forecast coverage.
01-01-2024,SKU_14,WH_4,SUP_1,East,25,498,10,343,0,5.76,8.49,0,0,23.61,212.25,144.0,68.25,32.16,1.39,1.39,0,0,LOW,NO ACTION,Inventory is currently above the reorder threshold with sufficient forecast coverage.
01-01-2024,SKU_14,WH_5,SUP_3,North,14,980,6,259,0,11.19,14.98,0,0,12.92,209.72,156.66,53.06,25.3,1.08,1.08,0,0,LOW,NO ACTION,Inventory is currently above the reorder threshold with sufficient forecast coverage.
01-01-2024,SKU_15,WH_1,SUP_6,North,28,792,13,327,0,16.7,28.78,1,0,32.78,805.84,467.6,338.24,41.97,-4.78,4.78,0,0,LOW,NO ACTION,Inventory is currently above the reorder threshold with sufficient forecast coverage.
